source,review_id,group_id,review_title,test_name,study_rows,zero_cell_study_fraction,sensitivity,specificity,sensitivity_low,sensitivity_interval_median,sensitivity_high,specificity_low,specificity_interval_median,specificity_high,information_bits,information_bits_low,information_bits_interval_median,information_bits_high,fraction_entropy_removed,fraction_entropy_removed_low,fraction_entropy_removed_interval_median,fraction_entropy_removed_high,post_negative_probability,post_negative_probability_low,post_negative_probability_interval_median,post_negative_probability_high,starting_probability,uncertainty_type,analysis_version,model_specification,analysis_role,sensitivity_dimension,central_estimator_mixed_with_canonical_interval,central_quantity_estimand,derived_central_matches_attached_interval_median
PMC Open Access,PMC:PMC10340581,pmc open access:PMC10340581:diagnostics-13-02145-t003:table-3-performance-of-the-ml-architecture:1:overall,Diagnostic Accuracy of Machine Learning AI Architectures in Detection and Classification of Lung Cancer: A Systematic Review,Overall structured 2 x 2 data,9,0.0,0.9371087942494696,0.8935847608727027,0.8950804967766014,0.9371087942494696,0.9629975183638346,0.6675729173674345,0.8935847608727027,0.9723087445485754,0.5847209798191433,0.3102732330006322,0.5820666028812064,0.7512741296765677,0.5847209798191433,0.3102732330006322,0.5820666028812064,0.7512741296765677,0.0657530434063734,0.0397003643598469,0.0672035382830534,0.1130920336558924,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10423382,pmc open access:PMC10423382:t1:table-1-characteristics-of-studies-included-in-the-meta-analysis-9-12-16-26-40:1:overall,Diagnostic accuracy of glioma pseudoprogression identification with positron emission tomography imaging: a systematic review and meta-analysis,Overall structured 2 x 2 data,20,0.2,0.7987574415439226,0.8049721014719141,0.7205425536729838,0.7987574415439226,0.8593544198767694,0.7646296570179855,0.8049721014719141,0.8398481398055266,0.057076683415044,0.0400764617529703,0.0569559288106494,0.0743552875638812,0.1992922131219952,0.1399332665980255,0.1988705794370193,0.2596231758627809,0.0129869832466502,0.0090329035555007,0.0129822621447085,0.0182244566769828,0.05,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10423382,pmc open access:PMC10423382:t1:table-1-characteristics-of-studies-included-in-the-meta-analysis-9-12-16-26-40:1:overall,Diagnostic accuracy of glioma pseudoprogression identification with positron emission tomography imaging: a systematic review and meta-analysis,Overall structured 2 x 2 data,20,0.2,0.7987574415439226,0.8049721014719141,0.7205425536729838,0.7987574415439226,0.8593544198767694,0.7646296570179855,0.8049721014719141,0.8398481398055266,0.1853476430492148,0.130846833761199,0.1849900524316712,0.239730073839056,0.2567397561638509,0.1812463522168564,0.2562444289698048,0.3320691846415252,0.0588234009611149,0.0415005283748431,0.058803009854267,0.0810285400256792,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10423382,pmc open access:PMC10423382:t1:table-1-characteristics-of-studies-included-in-the-meta-analysis-9-12-16-26-40:1:overall,Diagnostic accuracy of glioma pseudoprogression identification with positron emission tomography imaging: a systematic review and meta-analysis,Overall structured 2 x 2 data,20,0.2,0.7987574415439226,0.8049721014719141,0.7205425536729838,0.7987574415439226,0.8593544198767694,0.7646296570179855,0.8049721014719141,0.8398481398055266,0.2818331423002949,0.198068660625931,0.2812863576263843,0.3655684335627815,0.2818331423002949,0.198068660625931,0.2812863576263843,0.3655684335627815,0.1999996287775007,0.1476228363695049,0.1999406953757149,0.2607335768887376,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10439656,pmc open access:PMC10439656:Tab3:table-3-diagnostic-test-performance-of-ccl14-for-persistent-aki:1:overall,Performance of urinary C–C motif chemokine ligand 14 for the prediction of persistent acute kidney injury: a systematic review and meta-analysis,Overall structured 2 x 2 data,6,0.1666666666666666,0.793020115374903,0.6922440501209836,0.6989486910566877,0.793020115374903,0.8634396454333341,0.5144229739165583,0.6922440501209836,0.8268628852442688,0.0341547651025321,0.0146984170428431,0.0337184638103222,0.0590831054721912,0.1192567317979693,0.0513218338311187,0.1177333172456518,0.206297951162483,0.01549295067004,0.0107444877522887,0.0156689048407337,0.0224569934026596,0.05,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10439656,pmc open access:PMC10439656:Tab3:table-3-diagnostic-test-performance-of-ccl14-for-persistent-aki:1:overall,Performance of urinary C–C motif chemokine ligand 14 for the prediction of persistent acute kidney injury: a systematic review and meta-analysis,Overall structured 2 x 2 data,6,0.1666666666666666,0.793020115374903,0.6922440501209836,0.6989486910566877,0.793020115374903,0.8634396454333341,0.5144229739165583,0.6922440501209836,0.8268628852442688,0.1141072541970414,0.0499473807401696,0.1125616313752503,0.1914056458609621,0.158059029708277,0.0691860880521108,0.1559180646554732,0.2651311774905032,0.0695507187289404,0.0490596151933644,0.0702967725889111,0.0983853240162587,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10439656,pmc open access:PMC10439656:Tab3:table-3-diagnostic-test-performance-of-ccl14-for-persistent-aki:1:overall,Performance of urinary C–C motif chemokine ligand 14 for the prediction of persistent acute kidney injury: a systematic review and meta-analysis,Overall structured 2 x 2 data,6,0.1666666666666666,0.793020115374903,0.6922440501209836,0.6989486910566877,0.793020115374903,0.8634396454333341,0.5144229739165583,0.6922440501209836,0.8268628852442688,0.1795435854944098,0.0802485537153294,0.1772214126796612,0.2917324576808092,0.1795435854944098,0.0802485537153294,0.1772214126796612,0.2917324576808092,0.2301761292458737,0.1710617847651881,0.2322151611902931,0.3038562957340736,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10440897,pmc open access:PMC10440897:Tab1:table-1-general-characteristics-of-the-included-literatures:1:overall,"Meta-analysis of 18 F-PSMA-1007 PET/CT, 18 F-FDG PET/CT, and 68 Ga-PSMA PET/CT in diagnostic efficacy of prostate Cancer",Overall structured 2 x 2 data,27,0.2222222222222222,0.8808001680209848,0.764190527157251,0.840911279720144,0.8808001680209848,0.9117373347528828,0.686073433435475,0.764190527157251,0.827749446374468,0.0637110441928924,0.0450701246330798,0.0636113415827294,0.0838010117636009,0.2224571267602441,0.1573694255935543,0.2221089994226945,0.2926044068606206,0.0081427214226952,0.0058896847419895,0.0081793724073144,0.0111807669372398,0.05,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10440897,pmc open access:PMC10440897:Tab1:table-1-general-characteristics-of-the-included-literatures:1:overall,"Meta-analysis of 18 F-PSMA-1007 PET/CT, 18 F-FDG PET/CT, and 68 Ga-PSMA PET/CT in diagnostic efficacy of prostate Cancer",Overall structured 2 x 2 data,27,0.2222222222222222,0.8808001680209848,0.764190527157251,0.840911279720144,0.8808001680209848,0.9117373347528828,0.686073433435475,0.764190527157251,0.827749446374468,0.2107888763516218,0.1514106162781351,0.2105100443894275,0.2720218757654609,0.2919804310767402,0.2097308822726435,0.2915941987578029,0.3767991267993285,0.0375318830036719,0.0273714675929785,0.0376957893135508,0.0509715155660052,0.2,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,locked Phase 1 released central quantity with separately labeled pooled-mean interval,
PMC Open Access,PMC:PMC10440897,pmc open access:PMC10440897:Tab1:table-1-general-characteristics-of-the-included-literatures:1:overall,"Meta-analysis of 18 F-PSMA-1007 PET/CT, 18 F-FDG PET/CT, and 68 Ga-PSMA PET/CT in diagnostic efficacy of prostate Cancer",Overall structured 2 x 2 data,27,0.2222222222222222,0.8808001680209848,0.764190527157251,0.840911279720144,0.8808001680209848,0.9117373347528828,0.686073433435475,0.764190527157251,0.827749446374468,0.3326397646085046,0.2420008470192232,0.3320823711864511,0.4227925717290642,0.3326397646085046,0.2420008470192232,0.3320823711864511,0.4227925717290642,0.1349344949785988,0.1011777221430933,0.135463901214784,0.1768440365662036,0.5,model-based 95% pooled-mean interval,0.42.0,v0.42.0 canonical REML,canonical primary,canonical,False,canonical plug-in REML mean operating point with separately labeled pooled-mean interval,
