analysis_version,classification,model_specification,analysis_role,sensitivity_dimension,review_id,group_id,test_name,starting_probability,sensitivity,specificity,information_bits,fraction_entropy_removed,post_negative_probability,crossing_probability
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.2,0.6915400611727838,0.8713569297045841,0.1758257376914122,0.24355020802846733,0.08130444722199372,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.21000000000000002,0.6915400611727838,0.8713569297045841,0.18163113829311822,0.2449566638731917,0.0860077154158722,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.22,0.6915400611727838,0.8713569297045841,0.18719064631163085,0.24624920899966013,0.09078181668337114,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.23,0.6915400611727838,0.8713569297045841,0.1925079342940364,0.24743590924257222,0.0956283633264725,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.24000000000000002,0.6915400611727838,0.8713569297045841,0.19758648768704917,0.24852387081571528,0.10054901695353882,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.25,0.6915400611727838,0.8713569297045841,0.20242961621730393,0.24951938196566162,0.1055454903786547,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.26,0.6915400611727838,0.8713569297045841,0.20704046430182377,0.2504280287043805,0.11061954960944714,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.27,0.6915400611727838,0.8713569297045841,0.21142202058727555,0.25125479014779467,0.1157730159282321,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.28,0.6915400611727838,0.8713569297045841,0.21557712670471285,0.25200411764594344,0.12100776807163922,0.1280262761348617
0.42.0,empirical model-specific sensitivity example,v0.42.0 canonical REML,canonical primary,canonical,CD011134,legacy:CD011134:3,CEA at 5µg/L,0.29000000000000004,0.6915400611727838,0.8713569297045841,0.21950848531624806,0.25268000091077236,0.12632574451419398,0.1280262761348617
