source,review_id,group_id,sensitivity_historical_reml,specificity_historical_reml,information_bits_at_20_percent_historical_reml,sensitivity_v042_manifest_sheet,specificity_v042_manifest_sheet,information_bits_at_20_percent_v042_manifest_sheet,study_rows,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,row_selection_changed,interpretation
Cochrane DTA Reference Dataset,CD008892,legacy:CD008892:5,0.659622541493707,0.7953974887906169,0.1059874321036528,0.6596225489258236,0.7953974781492943,0.1059874293730147,6,7.43211658882359e-09,1.0641322600868364e-08,2.7306381045200112e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:12,0.7476781616570599,0.9818391151563092,0.3761683617305768,0.7476781610703783,0.9818391154149432,0.37616836197608094,23,5.866815921962143e-10,2.5863400310299767e-10,2.455041725468732e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:16,0.871911810173119,0.9781999539216488,0.4736888150505556,0.8719117982208501,0.9781999530141198,0.4736888009983173,10,1.1952268952342138e-08,9.075290519078294e-10,1.4052238317407983e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:22,0.7995338731670665,0.9831469931794176,0.4221185005882609,0.7995338198398767,0.9831469741165354,0.422118400169472,5,5.3327189775131956e-08,1.9062882161691164e-08,1.0041878889532896e-07,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD011431,legacy:CD011431:29,0.9323747892569816,0.989366177367776,0.5724051972206535,0.9323747923956008,0.9893661778811207,0.572405202726499,8,3.1386192533844337e-09,5.13344700081575e-10,5.5058454462297846e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:1,0.7927569314371772,0.7770690086741991,0.1621948584362261,0.7927569356894549,0.7770690128831603,0.1621948636894463,15,4.25227775213699e-09,4.208961179585913e-09,5.253220192180663e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:3,0.7639403883221687,0.7946200985519484,0.1574592337340026,0.7639407614237806,0.7946202823856812,0.157459567051248,7,3.731016119390418e-07,1.8383373279196036e-07,3.333172453878763e-07,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:4,0.8050099696347706,0.7633683246264629,0.1604682885278791,0.8050099677835125,0.7633683195274604,0.16046828418289524,9,1.8512580357565867e-09,5.0990024424990565e-09,4.344983844939421e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:5,0.7917710682847964,0.799730747963261,0.1772294136257688,0.7917710691707569,0.7997307461881756,0.1772294128826388,11,8.859605271638316e-10,1.7750854119924497e-09,7.431300019788978e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008760,legacy:CD008760:6,0.7080156903781483,0.8850436672974196,0.1981760004856179,0.7080157156270919,0.8850436789520274,0.1981760270670067,6,2.524894360256269e-08,1.1654607834366004e-08,2.6581388812285667e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009372,legacy:CD009372:1,0.9117214584011104,0.9629271327547554,0.4761884709586168,0.9117214692003711,0.962927149514092,0.4761885199313576,8,1.079926070790549e-08,1.6759336585181472e-08,4.897274075155167e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010079,legacy:CD010079:3,0.7927201513493826,0.840908305146915,0.2103008908437348,0.7927201516818067,0.8409083012285185,0.21030088767195157,11,3.32424088256289e-10,3.918396496160881e-09,3.171783224953373e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD010079,legacy:CD010079:4,0.808712908345511,0.7997234057521553,0.1876883161829876,0.8087129400275737,0.7997234083217573,0.1876883380677454,6,3.1682062640037145e-08,2.5696019756438204e-09,2.1884757811507782e-08,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:4,0.9475585225713518,0.7585283844405264,0.2626000775725958,0.9475585226317367,0.7585283849129074,0.2626000779947182,6,6.03849192870598e-11,4.723810231865855e-10,4.221223925959805e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:5,0.9083149787312428,0.8883959146495545,0.3506169369945136,0.9083154677846662,0.888395267119881,0.3506165896709976,7,4.890534234247568e-07,6.475296734365088e-07,3.47323515947906e-07,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:6,0.7013689842507799,0.9019087460091072,0.2116178664838389,0.7013689888765239,0.9019087449901481,0.21161786821041056,6,4.62574401005611e-09,1.0189591392872899e-09,1.7265716634184969e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:7,0.5296895447469641,0.9088869477865636,0.1258768344740947,0.5296895456684549,0.9088869510038831,0.12587683779182085,8,9.21490883598608e-10,3.2173194108864323e-09,3.3177261493655408e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:8,0.8721265839979,0.8650018509580678,0.2916266641599992,0.8721266176995836,0.8650018328742761,0.29162667259094005,10,3.370168355498748e-08,1.8083791686329675e-08,8.43094083435858e-09,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD009020,legacy:CD009020:9,0.8862525547439485,0.793037748828551,0.2367598881414995,0.8862525549894692,0.7930377495653232,0.23675988892197933,13,2.455207148699401e-10,7.367721988060794e-10,7.804798196620055e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:12,0.9400011851900372,0.2833898808334596,0.0393802172766883,0.940001184931518,0.28338988085392525,0.03938021716343226,6,2.5851920604225143e-10,2.046562919133521e-11,1.1325603649359195e-10,False,same locked analysis rows; regenerated central estimate
Cochrane DTA Reference Dataset,CD008054,legacy:CD008054:15,0.7482542676005548,0.5110184653057559,0.0326566009921498,0.7482542687165856,0.5110184633950918,0.03265660083199509,6,1.1160308233115757e-09,1.9106640714028345e-09,1.6015470893915307e-10,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD014911,modern:CD014911:1,0.9501287427709936,0.9606399808675544,0.5142718776200583,0.9501287426659857,0.9606399807451419,0.5142718772188771,63,1.0500789127121379e-10,1.2241252456135499e-10,4.011811993720471e-10,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD014911,modern:CD014911:2,0.9693207049825868,0.9716227953361208,0.5653400248961906,0.9693207038082611,0.9716227951309082,0.5653400227581658,54,1.1743257477547786e-09,2.0521262467099177e-10,2.138024868258981e-09,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD014911,modern:CD014911:3,0.8565707117276101,0.936730850569782,0.3728148263679421,0.8565707140242227,0.9367308508485594,0.37281482884696204,28,2.2966125667878146e-09,2.7877744557258666e-10,2.4790199337765273e-09,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD014911,modern:CD014911:4,0.955295155650556,0.9698666961077044,0.5425009227244759,0.9552951580193633,0.9698666957141419,0.5425009247127,11,2.3688072614547195e-09,3.935625159101619e-10,1.988224029858543e-09,False,same locked analysis rows; regenerated central estimate
Modern Cochrane data package,CD015089,modern:CD015089:1,0.8991013379283493,0.8455720467540787,0.2943460555331935,0.8991013391851185,0.8455720485173666,0.2943460583962322,12,1.2567691332066033e-09,1.7632878490658754e-09,2.863038695011255e-09,False,same locked analysis rows; regenerated central estimate
