source,review_id,group_id,sensitivity,specificity,information_bits_at_20_percent,diagnostic_entropy_reduction_at_20_percent,zero_cell_study_fraction,pooled_sensitivity_median,pooled_specificity_median,information_bits_at_20_percent_median,relative_information_at_20_percent_median,canonical_reml_plugin_information_bits_at_20_percent,direct_binomial_plugin_information_bits_at_20_percent,absolute_like_for_like_plugin_information_bits_at_20_percent_difference,absolute_sensitivity_difference,absolute_specificity_difference,absolute_information_bits_at_20_percent_difference,absolute_relative_information_at_20_percent_percentage_points_difference
Cochrane DTA Reference Dataset,CD010079,legacy:CD010079:3,0.7927201516818067,0.8409083012285185,0.21030088767195157,0.2913044791597471,0.0,0.8003354595885315,0.8344920405669389,0.2092898077006784,0.2899039519071945,0.21030088767195157,0.2097836454012776,0.0005172422706739566,0.007615307906724822,0.00641626066157952,0.001011079971273171,0.14005272525526302
Cochrane DTA Reference Dataset,CD010079,legacy:CD010079:4,0.8087129400275737,0.7997234083217573,0.1876883380677454,0.2599820389273383,0.0,0.8270778850219599,0.8312666005353138,0.2244821297912619,0.3109480450768249,0.1876883380677454,0.2250736386124157,0.03738530054467029,0.018364944994386234,0.031543192213556503,0.03679379172351649,5.09660061494866
Cochrane DTA Reference Dataset,CD010276,legacy:CD010276:1,0.8017847458712539,0.6935228318863991,0.11917759954704502,0.16508236816249616,0.13333333333333333,0.8454640822032181,0.7244262580341844,0.1599084462271277,0.2215019021417599,0.11917759954704502,0.1608149934158875,0.04163739386884249,0.04367933633196419,0.030903426147785296,0.04073084668008267,5.6419533979263745
Cochrane DTA Reference Dataset,CD010276,legacy:CD010276:2,0.8786748983406047,0.883708643799011,0.3181752076196933,0.4407297760995658,0.16666666666666666,0.9224392044908858,0.8826846074006358,0.3524595746790112,0.488219778638762,0.3181752076196933,0.3571985638243197,0.03902335620462638,0.04376430615028104,0.0010240363983752276,0.034284367059317866,4.7490002539196166
Cochrane DTA Reference Dataset,CD010276,legacy:CD010276:3,0.8591171128845582,0.5962600075565156,0.10413608784691611,0.14424717445463012,0.2727272727272727,0.9118208474259052,0.6384657503694815,0.1542803810374975,0.2137060215970246,0.10413608784691611,0.156438093367903,0.05230200552098688,0.052703734541347025,0.04220574281296585,0.05014429319058139,6.9458847142394475
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:1,0.8814681032516721,0.989070386861848,0.5164326673135384,0.7153519456728084,0.5,0.8894549085778198,0.995049334112539,0.5475166901498179,0.7584088969902789,0.5164326673135384,0.5477690993074356,0.03133643199389713,0.007986805326147706,0.005978947250691036,0.031084022836279424,4.305695131747056
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:2,0.9527310353495277,0.890319005672086,0.3990132378918075,0.5527049587314689,0.07894736842105263,0.963701228864358,0.8790963634750462,0.3970874944580932,0.5500374583981915,0.3990132378918075,0.39745316332541814,0.0015600745663893467,0.010970193514830306,0.011222642197039834,0.0019257434337142665,0.26675003332773395
Cochrane DTA Reference Dataset,CD010360,legacy:CD010360:3,0.9191148683618203,0.902824001000228,0.3800554917625089,0.5264450773616263,0.5526315789473685,0.9248297980002572,0.9573247494122574,0.4773397240814978,0.6612012019783964,0.3800554917625089,0.47800522936141876,0.09794973759890985,0.005714929638436894,0.054500748412029454,0.09728423231898886,13.475612461677011
Cochrane DTA Reference Dataset,CD010502,legacy:CD010502:2,0.8399392719748975,0.9462095556356092,0.3747090821688425,0.519039340375451,0.0761904761904762,0.848654831535488,0.9509969531208348,0.3910237799408597,0.54163812533417,0.3747090821688425,0.3910823262383014,0.016373244069458892,0.008715559560590558,0.0047873974852256085,0.01631469777201716,2.259878495871903
Cochrane DTA Reference Dataset,CD010542,legacy:CD010542:2,0.902926385011344,0.8303355375552485,0.28285180923404485,0.39180052866369797,0.5,0.9366596357198588,0.8887923890038621,0.374834092909427,0.5192125026910193,0.28285180923404485,0.3794062906487225,0.09655448141467765,0.03373325070851474,0.05845685144861368,0.09198228367538214,12.74119740273213
Cochrane DTA Reference Dataset,CD010542,legacy:CD010542:4,0.8854110847813855,0.7095271943213909,0.178030479012547,0.24660417051690436,0.125,0.90569312403984,0.718801408281605,0.1978681337569442,0.2740828832652873,0.178030479012547,0.19860586393292343,0.020575384920376416,0.02028203925845451,0.009274213960214106,0.019837654744397193,2.7478712748382925
Cochrane DTA Reference Dataset,CD010542,legacy:CD010542:7,0.9158904222839293,0.6872801055073682,0.186815902709321,0.258773559350767,0.5714285714285714,0.952595847984486,0.7043481828502268,0.224940827896495,0.3115834242904635,0.186815902709321,0.22880423371502367,0.04198833100570268,0.03670542570055679,0.017068077342858645,0.038124925187174,5.280986493969647
Cochrane DTA Reference Dataset,CD010653,legacy:CD010653:1,0.5667281011489246,0.8023122647790072,0.07235653816296506,0.10022679360366821,0.0,0.5622992514165506,0.8100251008853887,0.0745629156640352,0.1032830224950157,0.07235653816296506,0.07448283940016776,0.002126301237202699,0.004428849732374007,0.007712836106381515,0.002206377501070139,0.305622889134749
