replicate,median_fraction_5,median_fraction_20,median_fraction_50,sampled_profile_count
320,0.2193168940471771,0.2765265308108274,0.2995291761211838,257
321,0.2248456422025591,0.28484328627566247,0.3063644805576582,268
322,0.2155281808655819,0.2731890810795418,0.295275667688457,265
323,0.2295689729788875,0.2919804310767402,0.3069087782979427,271
324,0.2405158114862979,0.293128733608058,0.3182846657171155,297
325,0.2648696438019468,0.3223141758343399,0.3519090986770024,270
326,0.2253723096026641,0.2913044791597471,0.3124603008240177,285
327,0.2331667147670941,0.2922321550118127,0.3124603008240177,261
328,0.2311241001150748,0.293128733608058,0.3312162367190932,267
329,0.2150126607494858,0.2731890810795418,0.2857060049229927,273
330,0.2614114238585682,0.3175909485086682,0.3339792097666257,286
331,0.2479825925621485,0.3091446466503045,0.31348523878830836,262
332,0.2311241001150748,0.2919804310767402,0.3124603008240177,266
333,0.26780837454714823,0.3279549453729452,0.35199399161953926,280
334,0.251401290228081,0.3176659554135705,0.3488758936849697,259
335,0.2253723096026641,0.2919804310767402,0.318822931629464,285
336,0.22578447452614675,0.28496554576396366,0.31620869629972925,264
337,0.235759514163908,0.293128733608058,0.3096279725491575,261
338,0.2627361016291179,0.3091446466503045,0.328607975929933,281
339,0.22326192312354445,0.28424669401527375,0.3096279725491575,274
340,0.2331667147670941,0.2922321550118127,0.306464594352574,285
341,0.2295689729788875,0.2913044791597471,0.3069087782979427,247
342,0.23813766282510296,0.2925545823423991,0.3138775859585222,262
343,0.2229658315345209,0.2846794341633278,0.31290416668296656,256
344,0.2209140722782021,0.2763191674385685,0.3007749257082882,273
345,0.235759514163908,0.3013859136747499,0.328607975929933,248
346,0.2311241001150748,0.2919804310767402,0.3133480325419154,277
347,0.2243189748024541,0.2853982859120177,0.3096279725491575,263
348,0.2209140722782021,0.2773125804745495,0.2956489617644331,291
349,0.2407504271599652,0.300997052037025,0.328607975929933,249
350,0.22497078630203315,0.2873710013112353,0.3056522978479856,264
351,0.2395942938048798,0.30568892585210183,0.31348523878830836,264
352,0.2692646409931247,0.32045716607850505,0.34560217033764595,298
353,0.2466908804312628,0.3091446466503045,0.3334242477859789,273
354,0.2371521846497087,0.2964000428228455,0.318822931629464,276
355,0.2337885578131195,0.2921062930442765,0.32344632082352426,254
356,0.2519862271506376,0.3175159416037659,0.3326397646085046,292
357,0.23034653654698117,0.2921062930442765,0.3237154537796985,250
358,0.22288156298780654,0.28835138253588244,0.3130413729293595,258
359,0.22350781772449024,0.2839605824146379,0.30431612939665403,294
360,0.251401290228081,0.3201679652089314,0.3454107302410044,253
361,0.22326192312354445,0.2773125804745495,0.3029799609453225,254
362,0.235759514163908,0.299671352037633,0.314132726882343,291
363,0.23347763629010682,0.29595175352472286,0.3159535553759084,266
364,0.2237653504689604,0.2789206831769446,0.3055726333563632,268
365,0.22263566838686077,0.2797052835799474,0.3096279725491575,258
366,0.22926951218487912,0.29100889030805643,0.31581634912951545,278
367,0.2337885578131195,0.2922321550118127,0.3133480325419154,267
368,0.2295689729788875,0.29164245511824366,0.3118803497157503,290
369,0.22504624103699977,0.28496554576396366,0.31290416668296656,248
370,0.220040032771426,0.2765265308108274,0.3055726333563632,285
371,0.22686476625974544,0.2908830283405202,0.30668668632525836,278
372,0.2516937586893593,0.30892927549496096,0.31348523878830836,288
373,0.2407504271599652,0.3031004753118667,0.318822931629464,273
374,0.21821727887559417,0.2745093707676341,0.295462314726445,276
375,0.2193168940471771,0.2756244365594896,0.2956489617644331,275
376,0.2407504271599652,0.300997052037025,0.318822931629464,277
377,0.2225513998401464,0.2798738357434901,0.306464594352574,273
378,0.2313678438729908,0.2919804310767402,0.328607975929933,264
379,0.2232117261354667,0.2798738357434901,0.2989842438071778,289
380,0.2734726986086483,0.3279549453729452,0.3628238054207248,267
381,0.24063311932313153,0.30204876367444583,0.3317954914632957,294
382,0.2195814158586158,0.2756244365594896,0.295462314726445,250
383,0.243720653795614,0.30507084934366474,0.3299121063245131,284
384,0.23214540744108447,0.2922321550118127,0.3100922574296808,246
385,0.2420897503029084,0.304637214214681,0.3250195841742786,300
386,0.2295689729788875,0.2913044791597471,0.314132726882343,239
387,0.2331667147670941,0.2922321550118127,0.3136224450347014,297
388,0.2283572229168268,0.2845328056159096,0.30431612939665403,254
389,0.2600867460880185,0.3175159416037659,0.3312162367190932,307
390,0.22497078630203315,0.28595190346357247,0.3100922574296808,266
391,0.2466908804312628,0.3087139043396174,0.3124603008240177,273
392,0.2560598180165894,0.3222396614582293,0.3488758936849697,269
393,0.2243189748024541,0.2845328056159096,0.3069087782979427,269
394,0.2477497545005592,0.30892927549496096,0.318822931629464,292
395,0.22896309794785716,0.2919804310767402,0.3061423885849738,298
396,0.2627361016291179,0.3201679652089314,0.3397972511480355,287
397,0.2224571267602441,0.2795367314164046,0.306464594352574,267
398,0.2295689729788875,0.2897856256043002,0.3136224450347014,261
399,0.2283572229168268,0.2853982859120177,0.3133480325419154,257
400,0.23446311446550105,0.28838248031386116,0.3061423885849738,294
401,0.2253723096026641,0.2799009469470248,0.3055726333563632,267
402,0.2253723096026641,0.2873710013112353,0.3056522978479856,271
403,0.2311241001150748,0.2919804310767402,0.3100922574296808,271
404,0.22406144205798395,0.2794108150619847,0.30239427482249065,266
405,0.22263566838686077,0.28193076468083134,0.30284846173329316,288
406,0.2295689729788875,0.2913044791597471,0.3069087782979427,273
407,0.2243189748024541,0.2853982859120177,0.3124603008240177,269
408,0.2556395280626632,0.32149301420315396,0.3326114541686377,286
409,0.2592928289746888,0.3188419534063487,0.3326397646085046,266
